messageSentAt,bloodRequestCreatedAt,notificationCreatedAt,responseCreatedAt,parsingTimeFromStart,notificationTimeFromStart,responseTimeFromStart
2024-10-24T19:51:41.000Z,2024-10-24T19:51:41.952Z,2024-10-24T19:51:42.779Z,2024-10-24T19:52:35.066Z,0.952,1.779,54.066
2024-10-24T21:34:48.000Z,2024-10-24T21:34:53.318Z,2024-10-24T21:34:56.887Z,2024-10-24T21:35:43.037Z,5.318,8.887,55.037
2024-10-24T21:45:39.000Z,2024-10-24T21:45:42.747Z,2024-10-24T21:45:45.246Z,2024-10-24T21:46:14.857Z,3.747,6.246,35.857
