messageSentAt,bloodRequestCreatedAt,notificationCreatedAt,responseCreatedAt,parsingTimeFromStart,notificationTimeFromStart,responseTimeFromStart
2024-10-24T21:41:27.000Z,2024-10-24T21:41:30.870Z,2024-10-24T21:41:33.385Z,2024-10-25T01:40:52.438Z,3.87,6.385,14365.438
2024-10-25T06:04:15.000Z,2024-10-25T06:04:19.622Z,2024-10-25T06:04:25.594Z,2024-10-25T06:06:23.548Z,4.622,10.594,128.548
2024-10-26T02:01:21.000Z,2024-10-26T02:01:25.519Z,2024-10-26T02:01:28.901Z,2024-10-26T02:43:19.929Z,4.519,7.901,2518.929
