messageSentAt,bloodRequestCreatedAt,notificationCreatedAt,responseCreatedAt,parsingTimeFromStart,notificationTimeFromStart,responseTimeFromStart
2024-10-24T21:41:27.000Z,2024-10-24T21:41:30.870Z,2024-10-24T21:41:33.385Z,2024-10-25T01:40:52.438Z,3.87,6.385,14365.438
2024-10-25T03:47:03.000Z,2024-10-25T03:47:06.832Z,2024-10-25T03:47:09.308Z,2024-10-25T03:58:04.036Z,3.832,6.308,661.036
2024-10-25T06:03:54.000Z,2024-10-25T06:03:57.834Z,2024-10-25T06:04:00.243Z,2024-10-25T06:04:42.825Z,3.834,6.243,48.825
2024-10-25T06:17:30.000Z,2024-10-25T06:17:33.892Z,2024-10-25T06:17:36.325Z,2024-10-25T06:17:47.558Z,3.892,6.325,17.558
