origin,file,kind,group,classifier,embedding_model,vectorizer,model,accuracy,precision,recall,f1,time_e7,acc_bn,acc_en,acc_tbn,n_params,train_s,single_latency,baseline
new,char_tfidf_logistic.json,lexical,CharTFIDF,LogReg,N/A,char_tfidf,logistic,0.9814169570267132,0.9814010045700204,0.9806083225110876,0.980996969391823,23.120929128699512,0.9740450538687562,0.9847266881028939,0.9921383647798742,,4.087579760001972,,char_tfidf
new,char_tfidf_naive_bayes.json,lexical,CharTFIDF,NB,N/A,char_tfidf,naive_bayes,0.9628339140534262,0.9617417258326777,0.9623713582122466,0.9620510271419145,13.248970203153554,0.9564152791380999,0.9710610932475884,0.9512578616352201,,0.0287156040139962,,char_tfidf
new,char_tfidf_random_forest.json,lexical,CharTFIDF,RF,N/A,char_tfidf,random_forest,0.9845141308555942,0.9844552078158635,0.983888381808826,0.9841678586998245,416.65122534311183,0.9755142017629774,0.9895498392282959,0.9937106918238994,,2.083808208000846,,char_tfidf
new,char_tfidf_svm.json,lexical,CharTFIDF,SVM,N/A,char_tfidf,svm,0.9852884243128146,0.9850227809972906,0.9849104714415231,0.9849664688570463,29220.67883276925,0.9769833496571988,0.9891479099678456,0.9968553459119497,,369.2991573150066,,char_tfidf
new,fasttext_char.json,fasttext,fastText (char n-gram),fastText,N/A,fasttext,fasttext,0.9823848238482384,0.9820282723018285,0.9819725380412143,0.9820003659610856,748.4115892604331,0.9730656219392753,0.9871382636655949,0.9937106918238994,,17.686126746993978,,fasttext_char
new,fasttext_word.json,fasttext,fastText (word),fastText,N/A,fasttext,fasttext,0.981029810298103,0.9810047786411675,0.9802127490137462,0.9806010729208193,142.59885596405272,0.9715964740450539,0.9863344051446945,0.9905660377358491,,2.7770491880073678,,fasttext_word
new,finetune_FacebookAI_xlm-roberta-base_bert.json,finetune,XLM-R-Base,Fine-tuned,FacebookAI/xlm-roberta-base,bert-end-to-end,bert,0.9850948509485095,0.9843318599957904,0.9852611734581362,0.9847851854396128,22297.936438294302,0.9774730656219393,0.9879421221864951,0.9984276729559748,278045186,496.54357937001623,0.006914601209864486,xlmr_base_ft
new,finetune_ai4bharat_IndicBERTv2-MLM-only_bert.json,finetune,IndicBERTv2,Fine-tuned,ai4bharat/IndicBERTv2-MLM-only,bert-end-to-end,bert,0.9831591173054588,0.9825568560376289,0.9830523633334151,0.9828014362634833,21378.44527683441,0.975024485798237,0.9867363344051447,0.9952830188679245,278042882,454.08896520501,0.006704037090239581,indicbertv2_ft
new,finetune_ai4bharat_indic-bert_bert.json,finetune,IndicBERT,Fine-tuned,ai4bharat/indic-bert,bert-end-to-end,bert,0.9852884243128146,0.9849142524326072,0.9850259427605302,0.984969940340062,21322.211871837473,0.9784524975514202,0.987540192926045,0.9984276729559748,33445122,399.87041125798714,0.0037795400799950584,indicbert_ft
new,finetune_csebuetnlp_banglabert_bert.json,finetune,BanglaBERT,Fine-tuned,csebuetnlp/banglabert,bert-end-to-end,bert,0.9870305845915602,0.986613540511563,0.986892626987822,0.9867520995401039,22266.949488966133,0.9818805093046034,0.9883440514469454,0.9984276729559748,110618882,472.6537566430052,0.006907831220014486,banglabert_ft
new,finetune_distilbert_distilbert-base-multilingual-cased_bert.json,finetune,DistilBERT,Fine-tuned,distilbert/distilbert-base-multilingual-cased,bert-end-to-end,bert,0.9849012775842044,0.9844655245256216,0.9846881049226923,0.98457618617162,11555.632545518647,0.975024485798237,0.989951768488746,0.9968553459119497,135326210,293.93281964500784,0.003480766100110486,distilbert_multilingual_ft
new,finetune_google-bert_bert-base-multilingual-cased_bert.json,finetune,mBERT,Fine-tuned,google-bert/bert-base-multilingual-cased,bert-end-to-end,bert,0.9866434378629501,0.9864352892819888,0.9862661108524662,0.9863503454229483,22320.556095604792,0.9779627815866797,0.9911575562700965,0.9968553459119497,177854978,528.6825272949936,0.006420458529901225,mbert_ft
new,finetune_google_muril-base-cased_bert.json,finetune,MuRIL,Fine-tuned,google/muril-base-cased,bert-end-to-end,bert,0.9847077042198994,0.9841891853222706,0.984576921663277,0.9843811299139629,22417.643720524684,0.9764936336924583,0.9879421221864951,0.9984276729559748,237557762,472.6422961849894,0.006597317590203602,muril_ft
new,huggingface_FacebookAI_xlm-roberta-base_logistic.json,embed,XLM-R-Base,LogReg,FacebookAI/xlm-roberta-base,huggingface,logistic,0.9531552458381727,0.9542619542619543,0.9499993874200583,0.9519201082133308,40.953776600294354,0.9588638589618022,0.9501607717041801,0.9465408805031447,,0.7113153460086323,,xlmr_base_emb
new,huggingface_FacebookAI_xlm-roberta-base_random_forest.json,embed,XLM-R-Base,RF,FacebookAI/xlm-roberta-base,huggingface,random_forest,0.9765776229190863,0.9777354510571272,0.9744800727744971,0.9759887758169175,46.68525742423518,0.970617042115573,0.9819131832797428,0.9748427672955975,,6.174822275002953,,xlmr_base_emb
new,huggingface_FacebookAI_xlm-roberta-base_svm.json,embed,XLM-R-Base,SVM,FacebookAI/xlm-roberta-base,huggingface,svm,0.9657375145180023,0.9661972331875245,0.9637504288059592,0.9649021257086742,25387.862378994487,0.9666993143976493,0.9622186495176849,0.9764150943396226,,364.5903303939849,,xlmr_base_emb
new,huggingface_ai4bharat_IndicBERTv2-MLM-only_logistic.json,embed,IndicBERTv2,LogReg,ai4bharat/IndicBERTv2-MLM-only,huggingface,logistic,0.9777390631049168,0.9776085545099695,0.9768792421160961,0.9772372917599563,31.35288230666658,0.9745347698334965,0.9803054662379421,0.9779874213836478,,0.30627421199460514,,indicbertv2_emb
new,huggingface_ai4bharat_IndicBERTv2-MLM-only_random_forest.json,embed,IndicBERTv2,RF,ai4bharat/IndicBERTv2-MLM-only,huggingface,random_forest,0.9775454897406117,0.9784250942559325,0.9757288169856166,0.9769937724675589,71.35643630710034,0.9740450538687562,0.9819131832797428,0.9716981132075472,,6.350730245001614,,indicbertv2_emb
new,huggingface_ai4bharat_IndicBERTv2-MLM-only_svm.json,embed,IndicBERTv2,SVM,ai4bharat/IndicBERTv2-MLM-only,huggingface,svm,0.9802555168408827,0.9799877398393919,0.9796525446570779,0.9798187327470027,1872.16316684628,0.9745347698334965,0.9831189710610932,0.9874213836477987,,67.47768173200893,,indicbertv2_emb
new,huggingface_ai4bharat_indic-bert_logistic.json,embed,IndicBERT,LogReg,ai4bharat/indic-bert,huggingface,logistic,0.967479674796748,0.9681461114507128,0.9653861703952366,0.9666765370088686,30.452320948470295,0.9598432908912831,0.9718649517684887,0.9748427672955975,,0.531702189007774,,indicbert_emb
new,huggingface_ai4bharat_indic-bert_random_forest.json,embed,IndicBERT,RF,ai4bharat/indic-bert,huggingface,random_forest,0.967673248161053,0.9706024665875144,0.9638230195290485,0.9667452074443659,47.33014129384547,0.9583741429970617,0.9770900321543409,0.960691823899371,,6.563674778008135,,indicbert_emb
new,huggingface_ai4bharat_indic-bert_svm.json,embed,IndicBERT,SVM,ai4bharat/indic-bert,huggingface,svm,0.9719318621757647,0.9728214643754031,0.9698486621254074,0.9712333528587747,4467.880168432666,0.9632713026444663,0.9762861736334405,0.9827044025157232,,109.51374298598967,,indicbert_emb
new,huggingface_csebuetnlp_banglabert_logistic.json,embed,BanglaBERT,LogReg,csebuetnlp/banglabert,huggingface,logistic,0.9550909794812233,0.9564681635886518,0.9518040479282547,0.9538891966759002,37.89311655140126,0.9632713026444663,0.9457395498392283,0.9654088050314465,,0.7287120510009117,,banglabert_emb
new,huggingface_csebuetnlp_banglabert_random_forest.json,embed,BanglaBERT,RF,csebuetnlp/banglabert,huggingface,random_forest,0.9721254355400697,0.9742058356173545,0.9690938104922693,0.9713721351508113,48.07726287483474,0.9691478942213516,0.9758842443729904,0.9669811320754716,,5.762952421995578,,banglabert_emb
new,huggingface_csebuetnlp_banglabert_svm.json,embed,BanglaBERT,SVM,csebuetnlp/banglabert,huggingface,svm,0.9641889276035618,0.9658968992398012,0.9610711572860258,0.9632282482281584,10687.50639956315,0.9686581782566112,0.9569935691318328,0.9779874213836478,,189.44353332999162,,banglabert_emb
new,huggingface_google-bert_bert-base-multilingual-cased_logistic.json,embed,mBERT,LogReg,google-bert/bert-base-multilingual-cased,huggingface,logistic,0.9758033294618661,0.975798352528053,0.9747281676508784,0.975249163214741,33.16794038327296,0.9686581782566112,0.9795016077170418,0.9842767295597484,,0.5016184799897019,,mbert_emb
new,huggingface_google-bert_bert-base-multilingual-cased_random_forest.json,embed,mBERT,RF,google-bert/bert-base-multilingual-cased,huggingface,random_forest,0.9717382888114595,0.9740394806160712,0.9685250300164172,0.9709632488194517,70.36218737503366,0.9642507345739472,0.9803054662379421,0.9622641509433962,,6.985812494996935,,mbert_emb
new,huggingface_google-bert_bert-base-multilingual-cased_svm.json,embed,mBERT,SVM,google-bert/bert-base-multilingual-cased,huggingface,svm,0.9779326364692218,0.9779498160182594,0.976932689716008,0.9774285734872548,2515.790164496362,0.9691478942213516,0.9827170418006431,0.9874213836477987,,82.27715437399456,,mbert_emb
new,huggingface_google_muril-base-cased_logistic.json,embed,MuRIL,LogReg,google/muril-base-cased,huggingface,logistic,0.9639953542392566,0.965883187353659,0.9607290313885962,0.9630175649593126,34.072926808188285,0.9755142017629774,0.9577974276527331,0.9512578616352201,,0.48511910598608665,,muril_emb
new,huggingface_google_muril-base-cased_random_forest.json,embed,MuRIL,RF,google/muril-base-cased,huggingface,random_forest,0.9781262098335269,0.9795401883783215,0.9758891597853521,0.9775678985906915,49.56156211539936,0.9769833496571988,0.9815112540192926,0.9685534591194969,,6.132152045989642,,muril_emb
